SMILES;Ratio Ln;apol;ASA;ASA+;ASA-;ASA_H;ASA_P;a_aro;a_count;a_donacc;a_heavy;a_hyd;a_IC;a_ICM;a_nC;a_nCl;a_nF;a_nH;balabanJ;BCUT_PEOE_0;BCUT_PEOE_1;BCUT_SLOGP_0;BCUT_SLOGP_2;BCUT_SLOGP_3;BCUT_SMR_0;BCUT_SMR_1;BCUT_SMR_2;BCUT_SMR_3;bpol;b_1rotN;b_1rotR;b_ar;b_count;b_heavy;b_max1len;b_rotN;b_rotR;b_single;CASA+;CASA-;chi0;chi0v;chi0v_C;chi0_C;chi1;chi1v;chi1v_C;chi1_C;DASA;DCASA;dens;density;diameter;dipole;E_sol;E_str;E_tor;E_vdw;FASA+;FASA-;FASA_H;FCASA+;FCASA-;GCUT_PEOE_0;GCUT_PEOE_2;GCUT_PEOE_3;GCUT_SLOGP_0;GCUT_SLOGP_1;GCUT_SLOGP_2;GCUT_SLOGP_3;GCUT_SMR_0;GCUT_SMR_2;GCUT_SMR_3;h_ema;h_emd;h_emd_C;h_logD;h_logP;h_logS;h_log_pbo;h_mr;Kier1;Kier2;Kier3;KierA1;KierA2;KierA3;logP(o/w);logS;mr;npr2;PC+;PC-;PEOE_PC+;PEOE_PC-;PEOE_RPC+;PEOE_RPC-;PEOE_VSA+1;PEOE_VSA-1;PEOE_VSA_FHYD;PEOE_VSA_FNEG;PEOE_VSA_FPNEG;PEOE_VSA_FPOL;PEOE_VSA_FPOS;PEOE_VSA_FPPOS;PEOE_VSA_HYD;PEOE_VSA_NEG;PEOE_VSA_PNEG;PEOE_VSA_POL;PEOE_VSA_PPOS;petitjean;petitjeanSC;pmi;pmi2;pmi3;Q_PC+;Q_PC-;Q_RPC-;Q_VSA_FHYD;Q_VSA_FNEG;Q_VSA_FPOS;Q_VSA_FPPOS;Q_VSA_HYD;Q_VSA_NEG;Q_VSA_PNEG;Q_VSA_POL;Q_VSA_PPOS;radius;rgyr;RPC-;rsynth;SlogP;SlogP_VSA0;SlogP_VSA6;SlogP_VSA7;SlogP_VSA9;SMR;SMR_VSA0;SMR_VSA1;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA7;std_dim1;std_dim2;std_dim3;TPSA;VAdjEq;VAdjMa;VDistEq;VDistMa;vdw_area;vdw_vol;vol;VSA;vsa_acc;vsa_hyd;vsa_pol;vsurf_A;vsurf_CW1;vsurf_CW2;vsurf_CW3;vsurf_CW4;vsurf_CW5;vsurf_CW6;vsurf_D1;vsurf_D2;vsurf_D3;vsurf_D4;vsurf_D5;vsurf_D6;vsurf_D7;vsurf_D8;vsurf_DD23;vsurf_DW12;vsurf_DW13;vsurf_DW23;vsurf_EDmin1;vsurf_EDmin2;vsurf_EDmin3;vsurf_EWmin1;vsurf_EWmin2;vsurf_EWmin3;vsurf_G;vsurf_HB1;vsurf_HB2;vsurf_HB3;vsurf_HB4;vsurf_HB5;vsurf_ID1;vsurf_ID2;vsurf_ID3;vsurf_ID4;vsurf_ID5;vsurf_ID6;vsurf_ID7;vsurf_IW1;vsurf_IW2;vsurf_IW3;vsurf_IW4;vsurf_IW5;vsurf_IW6;vsurf_R;vsurf_S;vsurf_V;vsurf_W1;vsurf_W2;vsurf_W3;vsurf_W4;vsurf_W5;vsurf_Wp1;vsurf_Wp3;Weight;weinerPol;zagreb
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;-2.4100001;42.919998;541.88379;38.976181;499.5217;541.88379;0;12;22;0;22;22;21.868664;0.99403024;12;10;0;0;2.3614981;-2.172925;-0.70668066;-1.9143926;1.2411727;2.5301745;-1.8216777;-0.16316724;1.1909693;2.6096673;4.1999998;1;0.043478262;12;23;23;1;1;0.043478262;11;68.987846;884.15338;16.928204;17.338934;6;6.9282031;10.106836;8.919467;3.25;4.3333335;460.5455;815.16553;1.5705889;1.236138;9;0.0014595794;-4.4411645;2.3989913;34.816696;15.166998;0.071927197;0.92182434;1;0.12731114;1.6316291;-0.67592746;-0.013607633;2.2357621;-0.44648573;0.065799281;0.67710537;2.5571415;-0.33718118;0.59056151;2.6149683;2.6064537;0;0;10.476893;10.476893;-10.128985;8.3388586;9.4297333;18.340265;6.4814816;2.8106508;27.217222;9.7948141;4.3033237;9.7620001;-11.15416;9.4047222;0.73667008;1.77;-1.77;0.80790788;-0.80790788;0.099482372;0.10064124;45.197464;295.81946;1;0.85637039;0;0;0.14362958;0;345.43402;295.81946;0;0;0;0.44444445;0.80000001;7079.022;5006.4556;6796.062;1.77;-1.77;0.1;1;0.85637039;0.14362958;0;345.43402;295.81946;0;0;0;5;3.7677624;0.1;0;9.8875999;0;35.006065;6.37115;391.48645;10.1978;0;0;35.006065;6.37115;0;391.48645;2.8387864;1.7317343;0.62270516;0;0.4530769;5.523562;2.8747079;8.679059;345.43402;403.40317;317.5;338.42563;0;345.43402;0;0.048170879;2.5822487;2.0945232;0.57572961;0.025295621;0;0;1194.125;745;534.875;460.375;413.125;372.25;267.625;157.375;6.5192022;6.5;0.5;6.5192022;-3.2414;-3.2144337;-3.1881523;-2.3934;-2.3664339;-2.3401523;1.2464366;178.25;191.5;52.125;2.625;0;0.015585717;0.02143769;0.048170879;0.020949243;0.053924438;0.044672631;0.043100726;0.016195187;0.016970305;0.065868378;0.069306292;0;0;1.5315268;513.70306;786.75;1174.375;514.75;111.625;3.875;0;996.125;59.5;498.66199;46;118
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-];1.39;41.283001;643.68921;21.282999;622.40619;0;643.68921;0;43;0;43;40;49.644451;1.1545222;14;0;27;0;7.4658461;-2.4584739;-0.54380834;-2.7893841;0.42019999;2.6504045;-2.4623454;-5.5511634e-017;0.1108;2.9395378;34.396999;12;0.2857143;0;42;42;14;13;0.30952382;41;212.40433;6834.02;36.077351;18.021538;7;7.0773501;17.943377;8.7607689;3.25;3.2886751;601.12323;6621.6157;2.0662019;1.5986819;15;8.8737078;-45.713951;10.971327;27.067516;36.971664;0.033064093;0.96693593;0;0.32997966;10.616957;-0.81582493;-0.3248044;2.7877653;-1.48971;-0.26612729;0.26019999;2.6811993;-0.51553518;-0.049199998;2.8239937;11.347676;0;0;10.113732;10.113732;-8.9714737;1.0693778;7.8647161;43;10.760859;5.1708217;37.498253;9.3522587;4.4831181;12.8938;-9.3698997;6.3237877;0.99732542;9.9799995;-10.98;5.1836147;-6.1836147;0.0888061;0.087943435;0;0;0.8422479;0.87337196;0.067967251;0.15775211;0.12662801;0.089784868;336.24167;348.66699;27.133842;62.977699;35.843857;0.46666667;0.875;21944.059;21172.363;21229.143;9.9799995;-10.98;0.081967212;0;0.87337196;0.12662801;0.12662801;0;348.66699;348.66699;399.21936;50.552357;8;5.5473285;0.081967212;0.55813956;6.9222002;42.683342;0;0;403.92307;7.0426002;66.545563;403.92307;0;0;0;0;5.3745217;0.98346621;0.94446003;40.130001;0.26665699;6.3923173;3.6732953;10.596491;399.21936;446.05368;345.125;421.45898;27.133842;357.37701;27.133842;3.6104541;2.6906514;2.5636029;2.3916187;1.5194193;0.48820555;0.11981738;511.75;171.125;84.125;37.125;18.125;7;2.625;1.25;1;0.70710677;0.5;0.86602539;-1.9434321;-1.9207257;-1.8841344;-7.3263636;-7.2582588;-7.2558422;1.3960078;677.25;1161.5;855.25;344.875;90.5;0.55377376;0.71668476;1.0190004;1.8959314;4.2531219;5.8654127;11.360703;1.1498578;1.0609459;1.1172252;2.0159147;4.610744;9.2421627;1.4073232;609.40155;857.625;1549.75;1183.5;855.5;344.875;90.5;872.5;0.25;713.09796;114;246
O=C1NC(=O)C2C1CC=CC2;-0.090000004;22.785137;316.60257;193.08736;123.51521;153.43596;163.16663;0;20;3;11;6;31.909237;1.5954618;8;0;0;9;2.0918031;-2.600934;-0.58331013;-2.576133;0.59529108;2.7251189;-2.3723145;-0.40127707;0.6861847;2.9801145;12.414863;0;0;0;21;12;2;0;0;18;441.78387;282.60281;7.8449349;6.0401111;4.7236147;5.1378284;5.2876935;3.7852583;2.8770101;3.3164966;69.572144;159.18106;1.0636059;0.77807641;5;0.37252626;-13.624378;1.0015998;23.107962;3.9809802;0.609873;0.390127;0.48463267;1.3953894;0.89261061;-0.770625;0.056848168;2.4242733;-1.1752429;-0.33802903;0.11059448;2.4198103;-0.51129073;0.16089296;2.6599536;3.4935622;6.4545102;3.0577769;0.017946046;0.018347496;-1.1391299;2.6606433;4.0051351;7.6388888;2.8027682;1.2098299;5.5707998;1.9715656;0.82376307;-0.72600001;-0.23072;4.0187125;0.61921442;2.2880001;-2.2880001;1.0612562;-1.0612562;0.2180398;0.27941921;8.5307722;24.509808;0.61422056;0.5019663;0.19786589;0.38577944;0.4980337;0.18791357;84.654533;69.183167;27.270733;53.169796;25.899061;0.40000001;0.66666669;726.29352;441.10037;712.3548;2.2880001;-2.2880001;0.24912587;0.37385064;0.5019663;0.4980337;0.25044981;51.525715;69.183167;51.78054;86.298615;34.518074;3;2.1919491;0.24912587;0.090909094;0.2252;18.01075;0;35.286369;0;3.8503699;47.724434;0;0;0;73.023178;0;1.7994044;1.4133787;0.64207655;46.169998;0.71860999;4.5849624;2.1151943;6.6342177;137.82433;194.2804;142.125;162.11577;27.133842;67.651054;32.816418;4.8908658;3.0303576;2.4048953;1.3799855;0.75440913;0.4071888;0.20193925;380.875;213.125;160.375;139.25;124.5;104.25;61;30.875;0.5;1;3.5355339;2.5495098;-2.2176683;-2.2164273;-2.1863256;-5.6395946;-5.5705247;-5.5630236;1.1457522;263.875;244.5;175;79;36.375;1.5104448;1.3592869;1.5435238;1.8312199;1.9481233;1.7892402;0.54441381;0.80578238;1.876703;2.7706065;3.162822;3.3474903;3.9301605;1.2834387;280.20428;359.625;750.5;447.375;222;93.75;42.375;486.625;47;151.16499;15;58
S=P(OCC)(OCC)Oc1nc(C(C)C)nc(C)c1;-0.16;46.258652;547.79272;356.76486;191.02785;387.6517;160.14101;6;40;4;19;10;70.864021;1.7716005;12;0;0;21;2.6256635;-2.503334;-0.25655642;-2.4163842;0.123;2.6666236;-2.2693293;0.1057;0.379944;2.7986233;37.685349;7;0.36842105;6;40;19;8;7;0.36842105;34;1634.3398;874.90753;14.466255;13.754472;9.0689144;9.4307213;8.8979959;8.8971767;3.9349396;4.2960944;165.73701;759.43225;1.0549428;0.78571767;9;0.94551772;-4.0590763;0.8286953;14.310987;5.7147951;0.65127712;0.34872288;0.70766127;2.9835005;1.5971508;-0.76129889;-0.098748431;2.4423385;-0.80775052;-0.24503101;-0.037;2.5575483;-0.51842618;0.025185229;2.7021253;7.9179835;6.9032388;6.9032388;2.395936;2.4003491;-3.6850054;3.264302;8.1368809;17.052631;7.6952662;5.4791913;17.571915;7.9432826;5.6633615;2.6329999;-3.39906;8.2612104;0.83759511;4.5809999;-4.5799999;1.695773;-1.695773;0.19628097;0.26992941;51.229515;37.495354;0.75097579;0.46056184;0.16261095;0.24902421;0.53943813;0.086413249;248.02507;152.10994;53.705582;82.245323;28.53974;0.44444445;0.80000001;3227.0059;2442.8384;2916.491;4.5809999;-4.5799999;0.1478166;0.47590649;0.49766752;0.50233251;0.12029628;157.17783;164.36485;133.36226;173.09256;39.730301;5;3.2562108;0.1478166;0.52631581;3.5847199;6.9216304;4.4107962;17.643185;184.37181;7.9022999;13.843261;40.492691;14.310064;0;17.643185;222.25119;3.1716042;2.1550732;1.2215002;85.559998;0.48546076;5.2479277;3.0364769;8.2177067;330.27039;387.35416;288.5;338.21643;20.697096;215.87578;20.697096;6.6615996;2.4625909;1.2989796;0.47675589;0.10930923;0.058715716;0.026892504;811.875;504.625;410.25;373.875;334.75;219.25;111.5;58.5;0.70710677;0.5;0.5;1;-2.7336113;-2.7209995;-2.6815252;-5.388041;-5.3174372;-5.3123541;1.304958;96.25;81.5;69.125;24.25;10.5;0.19864942;0.25700635;0.31415954;0.42222738;0.50817138;0.2333986;0.71209419;0.66331369;1.953169;3.7428114;6.1545386;6.3758736;6.4005828;1.4128098;501.65988;708.75;874.875;327.75;104.875;24.25;10.5;778.625;35.75;304.35098;26;90
S(=O)(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;-1.05;23.107;410.35071;10.079229;400.27145;0;410.35071;0;23;0;23;19;35.671547;1.5509368;6;0;13;0;6.3709908;-2.4319928;-0.46213102;-2.7233589;0.42019999;2.5977912;-2.3927896;0.077739999;0.1108;2.9112232;23.073;5;0.22727273;0;22;22;8;6;0.27272728;22;59.165077;2750.2651;19.5;10.363028;3;3;9.5;5.8191414;1.25;1.25;390.19223;2691.1001;2.1019249;1.6364338;8;4.4610267;-51.439026;5.4409199;20.050175;15.874521;0.024562476;0.97543752;0;0.14418173;6.7022314;-0.89483619;-0.28624076;2.4728785;-0.90827107;-0.38633275;0.26019999;2.3459358;-0.51212394;-0.049199998;2.5210576;8.2366285;0;0;5.3023877;5.3023877;-4.887516;0;4.524888;23;5.5;3.0178328;22.191479;5.2976995;2.9031212;4.6073599;-4.3382602;3.7856979;0.97527236;5.8699999;-6.8709998;2.6896644;-3.6896644;0.208473;0.12525015;0;11.512783;0.70316601;0.90619856;0.20303254;0.29683396;0.093801431;0.093801431;166.32504;214.34984;48.024784;70.212326;22.187544;0.5;1;4308.5059;3872.0903;3970.2656;5.8699999;-6.8709998;0.11890554;0;0.85752642;0.14247358;0.14247358;0;202.83705;202.83705;236.53737;33.700329;4;3.2856467;0.11890554;0.43478259;3.2279;0;0;0;194.48148;4.0487199;72.25753;194.48148;0;0;0;8.0966997;2.9172213;1.0175121;0.89235139;51.209999;0.41327167;5.4594316;2.8424032;8.8155718;236.53737;243.8858;189.875;240.96204;48.024784;176.9998;48.024784;5.6010389;2.9166996;2.746083;2.5020094;1.737949;0.88710666;0.40766522;224.375;73.25;36.125;13.5;4;1.75;0.125;0;5;4.472136;4.0311289;0.5;-1.4488254;-1.3952149;-1.3340417;-7.4161077;-7.3417492;-7.273118;1.2534732;472.5;826.75;629.625;304;130.375;1.0553951;1.6564655;1.7161199;2.1599913;1.9952953;3.055788;5.1643167;1.1607593;1.2772368;1.414674;2.3786125;3.9302812;5.0509987;1.3137053;384.40887;505;1077.875;887;629.625;304;130.375;605.375;0;399.103;54;128
c12c(cc3c(c1)cccc3)cccc2;-0.87;31.30793;394.08932;184.08241;187.86446;394.08932;0;14;24;0;14;14;23.51685;0.97986877;14;0;0;10;1.7054343;-2.2388883;-0.6279394;-2.0105515;0.78866631;2.4173307;-1.8710489;-0.48061657;0.83618933;2.5614715;10.93207;0;0;16;26;16;1;0;0;10;276.12363;281.79669;9.3804693;7.7735028;7.7735028;9.3804693;6.932653;4.809401;4.809401;6.932653;3.7820404;5.6730604;0.94366115;0.65310049;7;0.00015000001;-2.2108924;0.51004738;0.93192136;8.9180946;0.46710837;0.47670528;1;0.70066255;0.71505791;-0.753703;0.085398562;2.3242559;-0.54359144;-0.25488329;0.17096522;2.5434017;-0.40031409;0.20076041;2.6773913;0;2.5945683;2.5945683;4.0100794;4.0100794;-5.2658634;7.4777837;5.8369708;9.2421875;3.8677685;1.76;5.9469042;2.3938229;1.0570505;4.4239998;-5.1406398;5.9318681;0.82712775;1.5;-1.5;0.62248558;-0.62248558;0.10115311;0.098261431;42.653858;98.03923;1;0.75491506;0;0;0.24508493;0;174.03706;131.38319;0;0;0;0.42857143;0.75;1346.1404;1113.4294;1346.1396;1.5;-1.5;0.1;1;0.70415485;0.29584515;0;174.03706;122.54904;0;0;0;4;2.74821;0.1;1;3.993;0;0;186.72369;0;6.1454;0;0;0;10.291858;176.43184;0;2.8269184;1.556384;0.0027968707;0;0.64206427;5;2.5695729;7.3165565;174.03706;272.90439;188.875;194.37259;0;166.9191;0;0.044836689;2.7079103;1.7559626;0.2544966;0;0;0;727.875;419.375;314.75;285.75;266.875;232.5;129.125;62.75;0.70710677;0.5;0.5;0.70710677;-2.2914248;-2.2725441;-2.2590561;-1.4434248;-1.4245442;-1.411056;1.1640055;59.625;-34.375;18.625;0;0;0.020337699;0.067191623;0.044836689;0.04179721;0.057738096;0.12567629;0.23711979;0.022046294;0.069625884;0.55973417;0;0;0;1.3777742;338.58957;466.5;709.5;234;25;0;0;649.875;6.375;178.23399;21;76
Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl;0.1;22.928793;359.49084;60.593506;298.89734;323.2973;36.193535;6;13;2;12;11;20.986301;1.6143309;6;5;0;1;2.8055034;-2.0916369;-0.7025851;-1.8585424;1.2108802;2.4684286;-1.7632357;-0.16316724;1.1909693;2.5102179;3.193207;0;0;6;13;12;1;0;0;7;85.861;423.53751;9.4641018;9.1166811;3;3.4641016;5.4641018;4.5583405;1.5;2;238.30382;337.67651;1.5208451;1.2263929;5;0.53774858;-8.2359428;0.52785981;0.025167605;6.2173977;0.16855368;0.83144629;0.89932001;0.23884058;1.1781595;-0.74613202;-0.0098280618;1.9035548;-0.76157892;-0.041689668;0.66552299;2.2284169;-0.42520386;0.5794028;2.2595592;2.207268;1.8034875;0;4.7951612;4.8188376;-4.6647096;4.2069626;4.9849186;10.083333;3.3950617;1.5625;14.64642;5.1014757;2.4104257;4.546;-4.6943798;5.0624981;0.5565154;1.4170001;-1.4170001;0.75666851;-0.75666851;0.28735417;0.47172222;22.598732;147.90973;0.90819126;0.79000455;0.039417394;0.091808751;0.20999542;0.052391358;178.96698;155.67728;7.7675405;18.091713;10.324173;0.2;0.25;2005.6521;1116.1763;2005.6521;1.4170001;-1.4170001;0.37544107;0.90819126;0.79000455;0.20999542;0.052391358;178.96698;155.67728;7.7675405;18.091713;10.324173;4;2.7441714;0.37544107;0;4.6592002;25.385227;17.503033;0;200.98665;5.31568;0;25.385227;22.74646;0;0;195.74323;1.8311707;1.6440836;0.00037241468;20.23;0.65002245;4.5849624;2.1339197;6.9102907;197.0587;217.17184;175.125;197.1631;0;178.96698;13.566921;4.6203952;2.8301833;2.2087507;0.89144289;0.3065902;0.13811156;0.044199523;689.25;397;288;244.75;214.75;186.5;114.625;64.625;0.5;5.0497522;5.0249376;0.5;-2.5499587;-2.517997;-2.5071158;-4.8989515;-4.8672118;-4.8023634;1.1742784;167.625;207.25;108.625;38.625;14.625;0.73135328;0.74400914;0.65061569;0.7501474;0.91656369;1.0822036;1.2961296;0.32165235;1.2870101;2.9238644;3.9525013;3.972548;4.0980043;1.3555206;336.49435;456.125;834;407.5;149.5;41.625;15.375;666.375;40.875;266.33798;21;60
ClC1(Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1C2C(Cl)C2(Cl)OC12;-2.3;38.509171;467.70377;46.270092;421.43369;164.71072;302.99304;0;23;1;19;16;38.822643;1.6879411;10;8;0;4;1.9577138;-2.5606837;-0.63166136;-2.6249471;1.0048443;2.9524527;-2.338707;-0.2762287;0.99456358;3.266386;9.6488276;0;0;0;26;22;2;0;0;25;110.12282;1003.0121;14.171208;14.788796;5.309401;5.4641018;8.5592365;8.4678078;3.4047005;3.5653841;375.16357;892.88934;1.5529637;1.2649298;6;0.46801713;-2.9586785;2.6913161;17.188208;9.1519842;0.098930337;0.90106964;0.35216892;0.2354542;2.1445458;-0.72707224;-0.0094977431;2.7563379;-0.9023667;-0.22860043;0.57062602;2.7949624;-0.52279568;0.50251508;3.021626;3.5736451;2.3852301;2.3852301;5.3723097;5.3723097;-6.2045174;1.1062958;7.430182;12.719008;2.8134127;0.81919998;21.156986;4.8075442;1.4290663;6.69836;-7.3522801;7.6103511;0.93558484;2.3800001;-2.3800001;1.1267773;-1.1267773;0.16471058;0.30759254;18.536421;147.90973;0.99076551;0.88207889;0.0092344731;0.0092344731;0.11792111;0;268.62769;239.15933;2.503756;2.503756;0;0.33333334;0.5;4013.8135;2971.4951;3176.0828;2.3800001;-2.3800001;0.12436975;0.33256879;0.90016949;0.099830516;0.003563422;90.169861;244.06425;179.99544;180.96159;0.96615577;4;3.0776277;0.12436975;0.10526316;5.0191998;0;0;0;313.18915;8.0415001;10.999887;0;18.19569;0;0;313.18915;1.9680673;1.3691698;1.2281305;12.53;0.53475124;5.4594316;2.3898702;8.2771378;271.13144;335.01068;272.875;293.98846;2.503756;263.09042;2.503756;4.9735065;2.6396184;2.0996411;0.62859535;0.18818498;0.069658615;0.0096106492;892.75;527;380.625;325.625;292.125;262.375;172.125;91.125;1.118034;0.5;0.70710677;0.5;-2.6799567;-2.5661664;-2.5563903;-4.9078197;-4.7142534;-4.6303902;1.1904044;195.375;238;103.875;30.375;8.875;0.4395583;0.48583791;0.36777973;0.32317847;0.36374989;0.47764274;0.96506727;0.28454176;0.77385354;3.0010498;4.7433901;4.6059437;4.1775222;1.5213317;441.55392;671.75;988.375;452.5;122.875;30.375;8.875;793;19;423.76498;48;130
S(=O)(=O)(N(CC(=O)[O-])CC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;0.18000001;42.46455;592.22614;131.65231;460.57385;110.31695;481.90921;0;42;2;35;28;86.319427;2.0552244;12;0;17;7;6.9582567;-2.6010015;-0.34143078;-2.7995663;0.42019999;2.6330748;-2.4353795;0.051826667;0.11772351;2.9833708;38.475449;11;0.32352942;0;41;34;13;12;0.35294119;40;1180.9213;4591.4604;29.068914;16.644562;6.9142137;6.9915638;14.875227;9.2241573;2.8106601;2.865355;328.92154;3410.5393;1.8115442;1.3833408;13;5.4496675;-57.845375;7.908628;34.348331;20.780123;0.22230074;0.77769923;0.18627504;1.9940376;7.7528839;-0.85144603;-0.13499075;2.7519372;-1.4897574;-0.36359999;0.26019999;2.627717;-0.51725227;-0.049199998;2.8518474;13.13209;3.3468156;3.3468156;6.501183;6.5010743;-6.6700091;1.0693179;7.8976369;35;9.6321545;4.9342403;32.60952;8.9550171;4.5802445;6.5092001;-6.12041;7.2613225;0.9772557;8.9700003;-9.9689999;3.8032262;-4.8032265;0.1523338;0.1145978;10.105608;18.747677;0.77888638;0.7564314;0.15242769;0.22111362;0.2435686;0.068685934;302.25095;293.53717;59.150364;85.804298;26.653936;0.46153846;0.85714287;12028.381;11152.915;11412.484;8.9700003;-9.9689999;0.09027987;0.14493388;0.72243541;0.27756459;0.13263072;56.242352;280.34485;280.34485;331.8129;51.468044;7;4.5374751;0.09027987;0.40000001;3.3548999;42.683342;0;0;287.64795;7.18578;114.71725;255.84048;0;0;0;39.966759;4.5127311;1.2474585;1.1041007;77.510002;0.30935803;6.0874629;3.4572575;10.008825;388.05524;422.32758;322.5;394.03308;59.150364;299.10822;59.150364;2.2964506;2.6870604;2.4855633;2.1453295;1.2973502;0.44785726;0.083104469;591.125;252.75;152.125;104.375;76.75;48.875;25;8.375;8.2158384;0.5;0.5;0.70710677;-2.0387974;-1.92732;-1.8736385;-6.9637718;-6.9498854;-6.6965122;1.3338382;506;847.75;667.625;272.125;73.75;2.2798684;2.9451425;3.7129447;5.1131597;6.0354085;6.732892;7.2888117;1.0454719;0.67913842;0.44421798;0.94906557;2.8271084;6.5384784;1.4307165;549.37512;786;1375.125;995.875;673.5;272.125;73.75;869.125;5.875;584.22296;84;192
Fc1ccc(C(=O)[O-])cc1;0.50999999;17.148172;289.4462;106.21312;183.23309;199.47566;89.970543;6;14;0;10;7;23.651484;1.6893917;7;0;1;4;2.3101141;-2.1637812;-0.62613201;-2.24999;0.78328204;2.2491786;-1.8366239;-0.46280053;0.80636847;2.4599423;7.491828;1;0.1;6;14;10;1;1;0.1;7;187.89101;507.37244;7.5604777;5.0038619;3.809401;4.5604777;4.6983771;2.6685977;2.0713673;2.9663265;77.019981;319.48145;1.1966021;0.86000067;6;2.7980049;-85.574768;0.6203832;2.4164617;5.1057177;0.36695287;0.63304716;0.68916315;0.64913964;1.7529075;-0.83563036;0.056088086;1.8963246;-1.4896891;-0.38848847;0.21559301;2.0115087;-0.40356505;0.18146688;2.2082727;6.3697143;1.8749776;1.8749776;1.151463;1.1498621;-1.9076847;4.4652476;3.4163723;8.1000004;3.4082839;2.2857144;5.4760385;2.1897676;1.4077512;1.857;-1.90971;3.441684;0.83497238;1.7690001;-2.7690001;0.44933173;-1.4493318;0.27471888;0.37578174;31.770042;24.509808;0.7021057;0.68876535;0.29789427;0.29789427;0.31123465;0;92.019043;90.27063;39.042477;39.042477;0;0.5;1;772.98877;645.42419;772.98871;1.7690001;-2.7690001;0.32502708;0.68074274;0.68876535;0.31123465;0.11222591;89.219177;90.27063;27.133842;41.842342;14.708499;3;2.357302;0.32502708;0.69999999;0.1892;42.683342;0;70.572739;14.960114;3.07305;66.545563;14.960114;3.185575;0;70.572739;0;1.8626527;1.3729359;0.00053574552;40.130001;0.72192812;4.321928;2.3442218;6.3056221;131.06152;161.74988;116.25;140.10205;27.133842;86.372002;27.133842;4.8534856;3.138871;2.7682016;2.0974886;0.82234526;0.33443528;0.14949121;346.5;195.25;134.875;108;86.625;66.625;44.5;29.5;0.5;0.5;0.5;0.70710677;-2.1717324;-2.1702394;-2.1673336;-7.4969916;-7.3690844;-7.0842714;1.1648233;286;379.5;268.125;87.125;31.375;0.081048906;0.12077094;0.13064021;0.17591006;0.14744529;0.048765559;0.50321573;0.78972995;0.97746372;1.5194352;3.331732;4.7453046;5.3321285;1.2105963;261.95767;317.125;755.25;512.5;271.25;87.125;31.375;469.25;3.125;139.105;11;46
